Year,Mercury Production,Mercury Use,f_production
1510,85.42989,0.0,1.0
1520,93.65588194,0.0,1.0
1530,102.6739496,0.0,1.0
1540,112.5603615,0.0,1.0
1550,123.39873,0.0,1.0
1560,267.5757501,0.0,1.0
1570,277.5629424,0.0,1.0
1580,288.0564329,0.0,1.0
1590,299.0846969,0.0,1.0
1600,310.6778548,0.0,1.0
1610,342.4403625,0.0,1.0
1620,380.6420681,0.0,1.0
1630,426.6925369,0.0,1.0
1640,482.3116073,0.0,1.0
1650,505.9335481,0.0,1.0
1660,446.0269654,0.0,1.0
1670,403.868888,0.0,1.0
1680,368.6060599,0.0,1.0
1690,339.1018186,0.0,1.0
1700,314.4068928,0.0,1.0
1710,341.5546456,0.0,1.0
1720,384.7734986,0.0,1.0
1730,449.084784,0.0,1.0
1740,541.2931792,0.0,1.0
1750,670.6006726,0.0,1.0
1760,753.1261733,0.0,1.0
1770,845.8508845,0.0,1.0
1780,950.0400726,0.0,1.0
1790,1067.116486,0.0,1.0
1800,1050.21189,0.0,1.0
1810,870.4226075,0.0,1.0
1820,777.930443,0.0,1.0
1830,709.1411232,0.0,1.0
1840,750.9096366,0.0,1.0
1850,983.0548243,6.986833333,0.99294289
1860,1156.207035,17.20341522,0.985338962
1870,1928.082104,37.89984736,0.980722179
1880,3528.318226,86.2049756,0.976150388
1890,3337.445003,177.5759754,0.949480821
1900,2938.9815,404.1399267,0.879112998
1910,2474.90171,920.3360801,0.728933248
1920,984.5212826,1428.990116,0.40792071
1930,702.2508941,2417.573157,0.225093109
1940,646.2562867,4692.568529,0.121048416
1950,583.0886484,2157.323917,0.212774038
1960,1101.428419,5071.732438,0.178422115
1970,983.0262223,6859.730541,0.125341924
1980,818.4057946,5417.316394,0.131244749
1990,612.1525719,5316.003139,0.103261892
2000,163.7986212,3403.022294,0.045922861
2010,100.6841064,2628.92079,0.036885963
2020,206.1392125,1751.477137,0.105301129
2030,188.9761191,1439.92724,0.116014322
2040,108.9775072,1606.127493,0.063539846
2050,34.85644764,1191.778657,0.028416313
2060,20.86691222,759.6677875,0.026734125
2070,15.95883573,502.7213402,0.030768162
2080,15.22414169,353.4807548,0.041290858
2090,12.67826669,243.3809473,0.049513027
2100,10.3160652,174.9952349,0.05566884
2110,9.628327517,135.6904991,0.066256573
2120,8.940589837,125.9983206,0.066256573
2130,8.252852157,116.3061421,0.066256573
2140,7.565114478,106.6139636,0.066256573
2150,6.877376798,96.9217851,0.066256573
2160,6.189639118,87.22960659,0.066256573
2170,5.501901438,77.53742808,0.066256573
2180,4.814163758,67.84524957,0.066256573
2190,4.126426079,58.15307106,0.0
2200,3.438688399,48.46089255,0.0
2210,2.750950719,38.76871404,0.0
2220,2.063213039,29.07653553,0.0
2230,1.37547536,19.38435702,0.0
2240,0.68773768,9.69217851,0.0
2250,3.01981e-14,2.55795e-13,0.0
2260,0.0,0.0,0.0
2270,0.0,0.0,0.0
2280,0.0,0.0,0.0
2290,0.0,0.0,0.0
2300,0.0,0.0,0.0
