basin,volume [L],conc_p50 [pM],mass_p50 [Gg],Depths
Arctic,5.245747783431863e+18,"0.69 [0.44, 1.4]","0.73 [0.46, 1.5]",All depths
Coastal Arctic,8.519858761697703e+18,"0.71 [0.4, 2]","1.2 [0.69, 3.4]",All depths
Atlantic,2.1027410723610912e+20,"0.86 [0.55, 1.3]","36 [23, 53]",All depths
Coastal Atlantic,3.403104237812604e+19,"0.76 [0.47, 1.5]","5.2 [3.2, 10]",All depths
Indian,1.380060202215478e+20,"1 [0.97, 1.2]","29 [27, 33]",All depths
Coastal Indian,2.7771960401865277e+19,"1.2 [1.2, 1.2]","6.6 [6.6, 6.6]",All depths
Pacific,5.509158428533598e+20,"0.95 [0.67, 1.4]","1.1e+02 [74, 1.6e+02]",All depths
Coastal Pacific,4.5454152027330445e+19,"1 [0.91, 1.4]","9.5 [8.3, 13]",All depths
Southern,2.6509784612722056e+20,"1.5 [0.95, 2]","79 [51, 1.1e+02]",All depths
Coastal Southern,2.9637967481970455e+19,"1.6 [1.4, 2]","9.4 [8.4, 12]",All depths
Coastal Mediterranean,3.6113492540062075e+18,"1 [0.68, 1.7]","0.73 [0.49, 1.2]",All depths
Land,2.3291744102937887e+18,"2.1 [0.99, 4]","0.98 [0.46, 1.9]",All depths
Global,1.320895068936959e+21,"1.1 [0.74, 1.6]","2.8e+02 [2e+02, 4.1e+02]",All depths
